Dates	XOM	XOM_Position	INTC	INTC_Position
8/7/2017	80.16	156	36.43	200
8/4/2017	80.21	156	36.3	200
8/3/2017	80.49	156	36.49	200
8/2/2017	80.6	156	36.64	200
8/1/2017	80.17	156	36.35	200
7/31/2017	80.04	156	35.47	200
7/28/2017	79.6	156	35.31	200
7/27/2017	80.83	156	34.97	200
7/26/2017	80.37	156	34.75	200
7/25/2017	80.27	156	34.67	200
7/24/2017	79.87	156	34.5	200
7/21/2017	80.12	156	34.73	200
7/20/2017	80.86	156	34.75	200
7/19/2017	80.85	156	34.56	200
7/18/2017	80.6	156	34.53	200
7/17/2017	80.86	156	34.47	200
7/14/2017	81.28	156	34.68	200
7/13/2017	80.97	156	34.24	200
7/12/2017	80.96	156	34.25	200
7/11/2017	80.6	156	33.92	200
7/10/2017	80.16	156	33.65	200
7/7/2017	80.22	156	33.88	200
7/6/2017	80.12	156	33.63	200
7/5/2017	80.85	156	34.34	200
7/3/2017	82.1	156	33.46	200
6/30/2017	80.73	156	33.74	200
6/29/2017	80.7	156	33.54	200
6/28/2017	81.53	156	34.2	200
6/27/2017	81.11	156	33.65	200
6/26/2017	81.24	156	34.07	200
6/23/2017	81.61	156	34.19	200
6/22/2017	81.08	156	34.36	200
6/21/2017	81.44	156	34.58	200
6/20/2017	82.31	156	34.86	200
6/19/2017	82.76	156	35.51	200
6/16/2017	83.49	156	35.21	200
6/15/2017	82.26	156	35.31	200
6/14/2017	82.07	156	35.53	200
6/13/2017	82.96	156	35.88	200
6/12/2017	82.93	156	35.73	200
6/9/2017	82.13	156	35.71	200
6/8/2017	80.62	156	36.48	200
6/7/2017	80.91	156	36.26	200
6/6/2017	81.21	156	36.13	200
6/5/2017	80.12	156	36.34	200
6/2/2017	79.5	156	36.32	200
6/1/2017	80.7	156	36.12	200
5/31/2017	80.5	156	36.11	200
5/30/2017	81.1	156	36.18	200
5/26/2017	81.55	156	36.26	200
5/25/2017	81.75	156	36.26	200
5/24/2017	82.29	156	36.12	200
5/23/2017	82.58	156	35.86	200
5/22/2017	82.29	156	35.77	200
5/19/2017	81.93	156	35.4	200
5/18/2017	81.75	156	35.22	200
5/17/2017	81.99	156	35.04	200
5/16/2017	82.55	156	35.82	200
5/15/2017	82.8	156	35.63	200
5/12/2017	82.55	156	35.53	200
5/11/2017	82.61	156	35.69	200
5/10/2017	81.91	156	36.01	200
5/9/2017	82.31	156	36.37	200
5/8/2017	82.89	156	36.54	200
5/5/2017	82.02	156	36.82	200
5/4/2017	81.64	156	36.85	200
5/3/2017	82.7	156	36.98	200
5/2/2017	82.05	156	36.97	200
5/1/2017	82.06	156	36.31	200
4/28/2017	81.65	156	36.15	200
4/27/2017	81.26	156	37.43	200
4/26/2017	81.4	156	36.93	200
4/25/2017	81.73	156	36.87	200
4/24/2017	81.11	156	36.75	200
4/21/2017	80.69	156	36.32	200
4/20/2017	81.01	156	36.18	200
4/19/2017	80.49	156	35.91	200
4/18/2017	81.05	156	35.765	200
4/17/2017	81.58	156	35.48	200
4/13/2017	81.69	156	35.25	200
4/12/2017	82.97	156	35.63	200
4/11/2017	82.84	156	35.74	200
4/10/2017	83.13	156	35.8	200
4/7/2017	82.76	156	36.03	200
4/6/2017	83.01	156	36.03	200
4/5/2017	82.53	156	36.22	200
4/4/2017	82.37	156	36.28	200
4/3/2017	82.07	156	36.16	200
3/31/2017	82.01	156	36.07	200
3/30/2017	83.7	156	35.75	200
3/29/2017	82.02	156	35.57	200
3/28/2017	81.84	156	35.6	200
3/27/2017	81.25	156	35.39	200
3/24/2017	81.23	156	35.16	200
3/23/2017	81.86	156	35.27	200
3/22/2017	81.76	156	35.37	200
3/21/2017	81.83	156	35.04	200
3/20/2017	82	156	35.43	200
3/17/2017	82	156	35.27	200
3/16/2017	82.07	156	35.14	200
3/15/2017	82	156	35.1	200
3/14/2017	80.99	156	35.18	200
3/13/2017	81.42	156	35.16	200
3/10/2017	81.61	156	35.91	200
3/9/2017	81.67	156	35.82	200
3/8/2017	81.03	156	35.62	200
3/7/2017	82.52	156	35.8	200
3/6/2017	82.83	156	35.57	200
3/3/2017	82.46	156	35.9	200
3/2/2017	83.3	156	35.91	200
3/1/2017	83.02	156	35.93	200
2/28/2017	81.32	156	36.2	200
2/27/2017	81.54	156	36.51	200
2/24/2017	81.08	156	36.53	200
2/23/2017	81.78	156	36.18	200
2/22/2017	80.93	156	36.07	200
2/21/2017	81.89	156	36.52	200
2/17/2017	81.76	156	36.48	200
2/16/2017	82.3	156	36.41	200
2/15/2017	83.16	156	36.05	200
2/14/2017	82.82	156	35.93	200
2/13/2017	83	156	35.8	200
2/10/2017	82.52	156	35.34	200
2/9/2017	81.84	156	35.46	200
2/8/2017	81.48	156	36.38	200
2/7/2017	82.77	156	36.35	200
2/6/2017	83.31	156	36.27	200
2/3/2017	83.54	156	36.52	200
2/2/2017	83.45	156	36.68	200
2/1/2017	82.94	156	36.52	200
1/31/2017	83.89	156	36.82	200
1/30/2017	84.86	156	37.42	200
1/27/2017	85.51	156	37.98	200
1/26/2017	85.6	156	37.56	200
1/25/2017	85.34	156	37.8	200
1/24/2017	85.09	156	37.62	200
1/23/2017	84.97	156	36.77	200
1/20/2017	85.89	156	36.94	200
1/19/2017	84.73	156	36.57	200
1/18/2017	86.28	156	36.76	200
1/17/2017	87.36	156	36.8	200
1/13/2017	86.35	156	36.79	200
1/12/2017	86.34	156	36.71	200
1/11/2017	86.81	156	36.95	200
1/10/2017	85.93	156	36.54	200
1/9/2017	87.04	156	36.61	200
1/6/2017	88.5	156	36.48	200
1/5/2017	88.55	156	36.35	200
1/4/2017	89.89	156	36.41	200
1/3/2017	90.89	156	36.6	200
12/30/2016	90.26	156	36.27	200
12/29/2016	90.35	156	36.66	200
12/28/2016	90.3	156	36.63	200
12/27/2016	90.75	156	37.07	200
12/23/2016	90.71	156	36.97	200
12/22/2016	90.87	156	36.93	200
12/21/2016	90.28	156	36.98	200
12/20/2016	90.43	156	37.21	200
12/19/2016	90.42	156	36.89	200
12/16/2016	91.18	156	36.31	200
12/15/2016	90.89	156	36.79	200
12/14/2016	90.58	156	36.55	200
12/13/2016	92.58	156	36.8	200
12/12/2016	90.98	156	35.97	200
12/9/2016	89	156	35.76	200
12/8/2016	88.32	156	35.7	200
12/7/2016	88.07	156	35.5	200
12/6/2016	87.56	156	34.72	200
12/5/2016	87.48	156	34.39	200
12/2/2016	87.04	156	34.16	200
12/1/2016	87.24	156	33.76	200
11/30/2016	87.3	156	34.7	200
11/29/2016	85.9	156	35.31	200
11/28/2016	86.47	156	35.51	200
11/25/2016	87.12	156	35.44	200
11/23/2016	86.92	156	35.2	200
11/22/2016	86.68	156	35.48	200
11/21/2016	86.49	156	34.98	200
11/18/2016	85.28	156	34.95	200
11/17/2016	85.23	156	35.02	200
11/16/2016	85.75	156	34.84	200
11/15/2016	86.82	156	34.91	200
11/14/2016	85.28	156	34.48	200
11/11/2016	85.67	156	34.61	200
